com.samsung.shealth.sleep,6307003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,83,,46,46,5,2,43,398,170,0,35,0,,,,0,,,,,,,,,3,,,,62,,23,,,,,b4647494-7ddb-4c8a-937e-0fa53e87efb1.extra_data.json,,,,3,,89,80,398,,,,48:00.0,,,34:07.5,34:00.2,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,26:00.0,b4647494-7ddb-4c8a-937e-0fa53e87efb1
,,65,,25,47,0,5,68,219,60,1,64,0,,,,0,,,,,,,,,3,,,,60,,60,,,,,a4d3bea5-ac43-4bbc-af51-041afdf8fe74.extra_data.json,,,,2,,68,68,219,,,,03:00.0,,,00:48.6,00:44.3,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,42:00.0,a4d3bea5-ac43-4bbc-af51-041afdf8fe74
,,70,,0,55,0,0,75,192,0,0,75,0,,,,0,,,,,,,,,3,,,,48,,78,,,,,80649c44-8478-4ce8-88ba-12d4aa849d6c.extra_data.json,,,,0,,60,50,192,,,,02:00.0,,,17:15.4,17:10.7,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,14:00.0,80649c44-8478-4ce8-88ba-12d4aa849d6c
,,48,,64,67,12,12,43,533,216,3,25,0,,,,0,,,,,,,,,3,,,,78,,18,,,,,e7f86622-39a7-47c1-86a1-f94fa3248215.extra_data.json,,,,4,,91,73,533,,,,46:00.0,,,44:53.8,44:44.5,,,UTC+0530,zq74ylr3Ra,,com.sec.android.app.shealth,39:00.0,e7f86622-39a7-47c1-86a1-f94fa3248215
,,2,,27,27,8,58,66,206,141,2,62,3,,,,0,,,,,,,,,3,,,,41,,68,,,,,cd12f140-fb65-4d1e-868e-4ae48604feb2.extra_data.json,,,,2,,67,44,209,,,,49:00.0,,,35:03.9,34:27.1,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,18:00.0,cd12f140-fb65-4d1e-868e-4ae48604feb2
,,62,,17,17,8,13,23,224,161,1,8,0,,,,0,,,,,,,,,3,,,,34,,19,,,,,7f5f4df9-89cc-4fd1-bc65-b500d75a5ced.extra_data.json,,,,3,,89,59,224,,,,15:00.0,,,59:13.3,59:06.6,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,59:00.0,7f5f4df9-89cc-4fd1-bc65-b500d75a5ced
,,28,,18,44,0,42,43,245,81,1,40,0,,,,0,,,,,,,,,3,,,,51,,34,,,,,38ea9bd2-9e33-4220-9c0d-c18a1fd3026d.extra_data.json,,,,2,,82,59,245,,,,59:00.0,,,12:56.3,12:52.9,,,UTC+0530,ws0Z2n1c+Y,,com.sec.android.app.shealth,04:00.0,38ea9bd2-9e33-4220-9c0d-c18a1fd3026d
,,65,,59,68,1,5,35,353,155,1,27,0,,,,0,,,,,,,,,3,,,,70,,18,,,,,38b99d81-c7a6-439d-a2c6-c961c296a7fd.extra_data.json,,,,2,,90,69,353,,,,32:00.0,,,30:20.2,30:12.6,,,UTC+0530,BAL2wTUNJW,,com.sec.android.app.shealth,25:00.0,38b99d81-c7a6-439d-a2c6-c961c296a7fd
,,65,,19,41,2,10,25,327,98,1,12,0,,,,0,,,,,,,,,3,,,,53,,13,,,,,3fe6cbed-ac58-4a2c-8d26-063ff7ac9d84.extra_data.json,,,,3,,92,69,327,,,,06:00.0,,,38:10.4,37:02.4,,,UTC+0530,NBSTvGygd/,,com.sec.android.app.shealth,33:00.0,3fe6cbed-ac58-4a2c-8d26-063ff7ac9d84
,,47,,33,58,0,33,54,388,95,1,43,0,,,,0,,,,,,,,,3,,,,68,,25,,,,,587aa5b4-d4e5-43ec-8faa-d5e4035a7685.extra_data.json,,,,4,,86,74,388,,,,05:00.0,,,38:17.8,37:52.4,,,UTC+0530,zq74ylr3Ra,,com.sec.android.app.shealth,33:00.0,587aa5b4-d4e5-43ec-8faa-d5e4035a7685
