com.samsung.shealth.exercise,6307003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1080000,,,,,2023-01-20 04:47:00.000,1001,,,,,,,,,,2023-01-26 12:01:32.122,2023-01-22 04:00:56.082,,,,,,,,475.76996,,21.446877,,,,UTC+0000,7MBL6oqjtV,,,c4b930c6-f16f-4e2a-b889-8bea1f883060.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 05:05:00.000,c4b930c6-f16f-4e2a-b889-8bea1f883060,,
acca1034-f1d7-4b7e-afb0-01b3cba4d4c5.live_data_internal.json,,,,,,76.0,,,,,acca1034-f1d7-4b7e-afb0-01b3cba4d4c5.sensing_status.json,4,,,,,,,538,,,,,,,,712477,,,,,2022-12-01 13:15:54.311,1001,,,,116.0,30001,,,,143.0,2022-12-01 13:29:22.967,2022-12-01 13:29:22.967,,,1.8374996,86.99228,89.0,,1033,800.87,,76.0,136.0,,,UTC+0530,NBSTvGygd/,,,acca1034-f1d7-4b7e-afb0-01b3cba4d4c5.com.samsung.health.exercise.live_data.json,,1.1240643,com.sec.android.app.shealth,,,,,2022-12-01 13:27:46.788,acca1034-f1d7-4b7e-afb0-01b3cba4d4c5,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1980000,,,,,2023-01-18 05:48:00.000,1001,,,,,,,,,,2023-01-26 12:01:30.954,2023-01-22 04:00:55.874,,,,,,,,1251.91,,39.31927,,,,UTC+0000,7MBL6oqjtV,,,a9be15ac-0934-4be4-99cf-2fe2d74301e0.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 06:21:00.000,a9be15ac-0934-4be4-99cf-2fe2d74301e0,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,840000,,,,,2023-01-18 11:10:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.233,2023-01-22 04:00:56.017,,,,,,,,436.43997,,16.680902,,,,UTC+0000,7MBL6oqjtV,,,90c1f045-f9ca-4a7b-bb3c-b4cd6d435c5b.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 11:24:00.000,90c1f045-f9ca-4a7b-bb3c-b4cd6d435c5b,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1080000,,,,,2023-01-18 14:32:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.374,2023-01-22 04:00:55.632,,,,,,,,1134.5798,,21.446875,,,,UTC+0000,7MBL6oqjtV,,,84c4357a-0a15-439f-8541-fe6aa9d7eb5b.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-18 14:50:00.000,84c4357a-0a15-439f-8541-fe6aa9d7eb5b,,
a2e610d1-af75-4bf5-9cc2-793f956fc7d4.live_data_internal.json,,,,,,71.0,,,,,a2e610d1-af75-4bf5-9cc2-793f956fc7d4.sensing_status.json,4,,,,,,,543,,,,,,,,666768,,,,,2023-02-18 13:33:16.146,1001,,,,93.0,30001,,,,111.0,2023-02-18 13:45:58.965,2023-02-18 13:45:58.965,,,1.5555556,65.60003,74.0,,729,532.5,,71.0,94.0,,,UTC+0530,BAL2wTUNJW,,,a2e610d1-af75-4bf5-9cc2-793f956fc7d4.com.samsung.health.exercise.live_data.json,,0.7986286,com.sec.android.app.shealth,,,,,2023-02-18 13:44:22.914,a2e610d1-af75-4bf5-9cc2-793f956fc7d4,,
7c6870a8-b1ad-4109-9baa-2dc327921bfb.live_data_internal.json,,,,,,86.0,,,,,7c6870a8-b1ad-4109-9baa-2dc327921bfb.sensing_status.json,4,,,,,,,663,,,,,,,,839925,,,,,2022-11-23 11:48:36.354,1001,,,,122.0,30001,,,,145.0,2022-11-23 12:04:12.229,2022-11-23 12:04:12.229,,,1.3513165,94.294136,85.0,,1320,1024.25,,86.0,105.0,,,UTC+0530,ws0Z2n1c+Y,,,7c6870a8-b1ad-4109-9baa-2dc327921bfb.com.samsung.health.exercise.live_data.json,,1.2194542,com.sec.android.app.shealth,,,,,2022-11-23 12:02:36.279,7c6870a8-b1ad-4109-9baa-2dc327921bfb,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,720000,,,,,2023-01-20 11:23:00.000,1001,,,,,,,,,,2023-01-26 12:01:32.737,2023-01-22 04:00:56.004,,,,,,,,458.11,,14.297917,,,,UTC+0000,7MBL6oqjtV,,,1b0976a9-d08e-4b9f-9b03-f0ea20ab0e2d.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 11:35:00.000,1b0976a9-d08e-4b9f-9b03-f0ea20ab0e2d,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,1320000,,,,,2023-01-17 06:32:00.000,1001,,,,,,,,,,2023-01-26 12:01:29.555,2023-01-22 04:00:55.821,,,,,,,,1089.7299,,26.212847,,,,UTC+0000,7MBL6oqjtV,,,93d62693-a081-4ce5-8098-3ed38918bc0e.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-17 06:54:00.000,93d62693-a081-4ce5-8098-3ed38918bc0e,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,600000,,,,,2023-01-20 02:47:00.000,1001,,,,,,,,,,2023-01-26 12:01:31.937,2023-01-22 04:00:55.777,,,,,,,,219.13,,11.914931,,,,UTC+0000,7MBL6oqjtV,,,1b667368-dc1a-4864-aa4d-a416a00cd8a3.com.samsung.health.exercise.live_data.json,,,com.google.android.apps.fitness,,,,,2023-01-20 02:57:00.000,1b667368-dc1a-4864-aa4d-a416a00cd8a3,,
